date,count(date),average_price
2023-06-23,491766,28.759827804281233
2023-06-24,500949,28.28414453367469
2023-06-25,428681,30.273793286850594
2023-06-26,391167,29.005652342862128
2023-06-27,395952,29.87480075867808
2023-06-28,386734,32.351619019791165
2023-06-29,393304,32.160426438582746
2023-06-30,433365,29.1230239405598
2023-07-01,433336,27.3830832425662
2023-07-02,378472,26.716253910464182
2023-07-03,334057,25.62493625339552
2023-07-04,322346,27.532675417099938
2023-07-05,358738,27.551050989860798
2023-07-06,371844,27.513013360444475
2023-07-07,419904,27.205558151388995
2023-07-08,455998,26.949927521613624
2023-07-09,403218,27.317644499999897
2023-07-10,347427,28.486132309811786
2023-07-11,372773,28.905528082776303
2023-07-12,402559,28.967225375660494
2023-07-13,426665,29.34275912015543
2023-07-14,463949,27.927554968329197
2023-07-15,501637,27.520344711417877
2023-07-16,412463,27.39245862053373
2023-07-17,373094,28.69283336103246
2023-07-18,392696,28.82195308839643
2023-07-19,404829,29.61531130428141
2023-07-20,421275,30.220802183850935
2023-07-21,467330,28.12212650590006
2023-07-22,481809,27.88399845167338
2023-07-23,412569,28.814246392728997
2023-07-24,355626,28.417028563720752
2023-07-25,388783,29.51218340308614
2023-07-26,396103,30.4339361984174
2023-07-27,434891,29.55548576540331
2023-07-28,472970,28.337051018039624
2023-07-29,496023,27.031515574887724
2023-07-30,412108,29.085726265934024
2023-07-31,353541,28.822555799755257
2023-08-01,364772,28.849516465083376
2023-08-02,377422,29.189279374284858
2023-08-03,394343,29.423571915823462
2023-08-04,420559,28.30860675910298
2023-08-05,450682,27.477294078756245
2023-08-06,393369,28.13711741393278
2023-08-07,353381,28.339493096690504
2023-08-08,350981,28.712597975393752
2023-08-09,372641,28.74025230718433
2023-08-10,422656,29.349975370045474
2023-08-11,428366,28.305628201121646
2023-08-12,449289,27.710365978249012
2023-08-13,382860,29.21865924881501
2023-08-14,339467,28.297864829280613
2023-08-15,350986,28.211901671296236
2023-08-16,375451,28.792239946095695
2023-08-17,393144,28.90989469507741
2023-08-18,430832,28.349119726487046
2023-08-19,445431,27.95563959401468
2023-08-20,388352,28.428604976932167
2023-08-21,338710,27.85335664728343
2023-08-22,341428,27.96331821057777
2023-08-23,356247,28.330687612811833
2023-08-24,388638,28.82641947005109
2023-08-25,432061,27.54253688715746
2023-08-26,465582,26.686059727398906
2023-08-27,401599,27.677341850954832
2023-08-28,334576,28.13707337047868
2023-08-29,352918,28.50636096770656
2023-08-30,379266,28.746230666607698
2023-08-31,386150,29.662427295096247
