date,hour_of_day,avg(average_speed)
2023-04-18,19,12.626297613050623
2023-04-18,20,13.818250995643261
2023-04-18,21,14.570590771244083
2023-04-18,22,14.98362559705063
2023-04-18,23,15.801297167573892
2023-04-19,0,16.369516510370172
2023-04-19,1,16.858048742332564
2023-04-19,2,17.807054930613337
2023-04-19,3,19.962857623147265
2023-04-19,4,22.36573783854112
2023-04-19,5,20.012807992219262
2023-04-19,6,15.776219312827571
2023-04-19,7,12.117326658838662
2023-04-19,8,11.1316327738049
2023-04-19,9,11.740004701813959
2023-04-19,10,12.010086420699537
2023-04-19,11,11.909426049451021
2023-04-19,12,11.872829973011306
2023-04-19,13,11.703410268333407
2023-04-19,14,10.865119010869417
2023-04-19,15,10.20760003818213
2023-04-19,16,10.110470546896956
2023-04-19,17,10.088479426120252
2023-04-19,18,11.081218360711977
2023-04-19,19,12.792471832001674
2023-04-19,20,13.916648580341057
2023-04-19,21,14.370681374740812
2023-04-19,22,14.830070136095316
2023-04-19,23,15.368198978277569
2023-04-20,0,15.93826186426595
2023-04-20,1,16.501899809733118
2023-04-20,2,17.711262589149943
2023-04-20,3,19.684751463539826
2023-04-20,4,22.986581966300385
2023-04-20,5,20.748720531379032
2023-04-20,6,16.318901874392164
2023-04-20,7,12.489089951220192
2023-04-20,8,11.356617585266168
2023-04-20,9,11.608213353883903
2023-04-20,10,11.904998152747575
2023-04-20,11,11.882210197380727
2023-04-20,12,11.77031622145308
2023-04-20,13,11.5284566354246
2023-04-20,14,10.357220320029098
2023-04-20,15,9.662423213621237
2023-04-20,16,9.490720125003099
2023-04-20,17,9.56607693539112
2023-04-20,18,10.533572071951841
2023-04-20,19,11.708105479902482
2023-04-20,20,12.626057091891788
2023-04-20,21,13.491843438130967
2023-04-20,22,13.854150613841272
2023-04-20,23,14.552275364927752
2023-04-21,0,15.265393455022823
2023-04-21,1,16.243678259133834
2023-04-21,2,16.734318875676642
2023-04-21,3,19.217949584822538
2023-04-21,4,22.1209535991199
2023-04-21,5,21.35995320442149
2023-04-21,6,18.16234546801203
2023-04-21,7,15.050742796226329
2023-04-21,8,13.706343108214181
2023-04-21,9,13.316872581190298
2023-04-21,10,12.695047317553312
2023-04-21,11,12.283889490095566
2023-04-21,12,12.048015742450085
2023-04-21,13,11.631621253090644
2023-04-21,14,11.170047466187013
2023-04-21,15,10.830455817474975
2023-04-21,16,10.821095576405021
2023-04-21,17,11.111699717341523
2023-04-21,18,11.965598505963856
2023-04-21,19,12.41284678495233
2023-04-21,20,12.656161793153872
2023-04-21,21,13.35790486792388
2023-04-21,22,13.735738164308918
2023-04-21,23,14.342447652035936
2023-04-22,0,14.942652030964595
2023-04-22,1,15.429071103062146
2023-04-22,2,16.21353738933956
2023-04-22,3,17.58889467729899
2023-04-22,4,19.187713430497464
2023-04-22,5,20.165105105394282
2023-04-22,6,19.954582490653966
2023-04-22,7,18.427701850627553
2023-04-22,8,16.686719571884762
2023-04-22,9,15.02400772205043
2023-04-22,10,13.855341462272307
2023-04-22,11,13.058042823757045
2023-04-22,12,12.454029674279013
2023-04-22,13,12.167197808688215
2023-04-22,14,11.889234650560264
2023-04-22,15,11.598008342296906
2023-04-22,16,11.112596228801
2023-04-22,17,10.601639357243553
2023-04-22,18,11.270407944660509
2023-04-22,19,11.69508991828046
2023-04-22,20,12.160120078183516
2023-04-22,21,11.775495457342387
2023-04-22,22,11.97108224342918
2023-04-22,23,12.720590413759325
2023-04-23,0,13.70760062470304
2023-04-23,1,14.216742767012096
2023-04-23,2,15.12965088520107
2023-04-23,3,16.464899476640856
2023-04-23,4,18.554238464386348
2023-04-23,5,19.813913909739064
2023-04-23,6,19.31804916862326
2023-04-23,7,18.532872954044915
2023-04-23,8,17.15664470142999
2023-04-23,9,15.728451454495938
2023-04-23,10,15.03379624886367
2023-04-23,11,14.160359014538807
2023-04-23,12,13.447445897322824
2023-04-23,13,13.31564498714734
2023-04-23,14,12.70109410628585
2023-04-23,15,12.632646630486258
2023-04-23,16,12.341721349449957
2023-04-23,17,12.720353670030688
2023-04-23,18,13.166113629563451
2023-04-23,19,13.706058696050981
2023-04-23,20,14.101668399343756
2023-04-23,21,14.80604808025165
2023-04-23,22,15.791790305375422
2023-04-23,23,16.955930213524695
2023-04-24,0,17.383033660135048
2023-04-24,1,17.533799525228495
2023-04-24,2,18.156508854266896
2023-04-24,3,20.528248019199552
2023-04-24,4,23.65698531812133
2023-04-24,5,20.957582015521247
2023-04-24,6,16.302803409425362
2023-04-24,7,12.498599988270492
2023-04-24,8,11.515334891412888
2023-04-24,9,12.45636538954332
2023-04-24,10,12.916567813694703
2023-04-24,11,12.807255371496508
2023-04-24,12,12.68588093489014
2023-04-24,13,12.534859308028098
2023-04-24,14,11.82406047306926
2023-04-24,15,11.047361850834285
2023-04-24,16,10.749813549591725
2023-04-24,17,10.941358576392364
2023-04-24,18,12.29726941556776
2023-04-24,19,13.962485019795631
2023-04-24,20,14.31521919402333
2023-04-24,21,14.862567494507113
2023-04-24,22,15.249608249662863
2023-04-24,23,16.416487547772224
2023-04-25,0,17.02284947435752
2023-04-25,1,17.43926417725085
2023-04-25,2,17.892709922358982
2023-04-25,3,20.05189120064673
2023-04-25,4,22.26246606125335
2023-04-25,5,20.13167455453612
2023-04-25,6,15.666459020461964
2023-04-25,7,11.691672128666054
2023-04-25,8,10.794405881486956
2023-04-25,9,11.454580386972694
2023-04-25,10,11.695027563597325
2023-04-25,11,12.04497238276911
2023-04-25,12,12.063352460315087
